dataset,model,prompt,n,structure_ok,flip_among_valid,flip_overall
qnli,bert,generic,30,0.43333333333333335,0.46153846153846156,0.2
qnli,bert,structured,30,0.7333333333333333,0.4090909090909091,0.3
qnli,roberta,generic,30,0.6,0.3333333333333333,0.2
qnli,roberta,structured,30,0.8333333333333334,0.4,0.3333333333333333
rte,bert,generic,30,0.06666666666666667,0.5,0.03333333333333333
rte,bert,structured,30,0.43333333333333335,0.3076923076923077,0.13333333333333333
rte,roberta,generic,30,0.1,0.6666666666666666,0.06666666666666667
rte,roberta,structured,30,0.3,0.3333333333333333,0.1
