cell,naive_specific,naive_generic,valid_specific,valid_generic,naive_picks,valid_picks,reversed
ag_news/bert,0.6666666666666666,0.3333333333333333,0.03333333333333333,0.03333333333333333,specific,tie,True
ag_news/roberta,0.6333333333333333,0.26666666666666666,0.0,0.1,specific,generic,True
imdb/bert,0.7333333333333333,0.23333333333333334,0.03333333333333333,0.13333333333333333,specific,generic,True
imdb/roberta,0.9333333333333333,0.2,0.06666666666666667,0.06666666666666667,specific,tie,True
sst2/bert,0.4,0.43333333333333335,0.0,0.13333333333333333,generic,generic,False
sst2/roberta,0.6,0.4666666666666667,0.0,0.0,specific,tie,True
