model,attack,dataset,asr_summary,asr_report,asr_diff,avg_perturb_summary,avg_perturb_report,avg_perturb_diff,pert_grammar_summary,pert_grammar_report,grammar_diff
Bert,Pwws,imdb,0.91,0.915,-0.005000000000000009,5.618654353371379,6.5,-0.8813456466286214,8.816666666666666,3.35,5.466666666666667
Bert,Pwws,mr,0.7166666666666667,0.71,0.00666666666666665,11.772724332028654,8.64,3.132724332028653,3.92,4.05,-0.1299999999999999
Bert,Textfooler,imdb,0.9033333333333331,0.905,-0.001666666666666923,8.172127474521945,9.95,-1.7778725254780543,9.086666666666666,3.05,6.036666666666666
Bert,Textfooler,mr,0.7766666666666666,0.775,-0.0016666666666666,14.604040591588689,15.46,-0.8559594084113122,3.99,4.05,-0.05999999999999961
Roberta,Pwws,imdb,0.9333333333333331,0.932,0.001333333333333104,6.69495230079468,5.25,1.4449523007946796,8.816666666666666,3.6,5.216666666666667
Roberta,Pwws,mr,0.7566666666666667,0.755,0.00166666666666669,12.079590329046992,12.15,-0.07040967095300843,3.9766666666666666,4.25,-0.27333333333333343
Roberta,Textfooler,imdb,0.95,0.948,0.002,7.197846548945137,7.05,0.14784654894513682,9.156666666666666,3.65,5.506666666666666
Roberta,Textfooler,mr,0.8233333333333335,0.822,0.001333333333333428,11.946798880760324,14.06,-2.113201119239676,3.923333333333333,4.25,-0.3266666666666671
