dataset,model,n,flip_specific,flip_generic,delta,sim_specific,sim_generic,ppl_specific,ppl_generic
ag_news,bert,30,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.34474964926666674,0.6498781477799999,25.55868625640869,94.85785675048828
ag_news,roberta,30,0.6333333333333333,0.26666666666666666,0.36666666666666664,0.3775536170666667,0.731750594,16.009767532348633,50.7972412109375
imdb,bert,30,0.7333333333333333,0.23333333333333334,0.49999999999999994,0.7272657203333334,0.730820614,14.140484809875488,25.331562042236328
imdb,roberta,30,0.9333333333333333,0.2,0.7333333333333334,0.7745699016666666,0.7716252743333335,16.1848726272583,27.46816635131836
sst2,bert,30,0.4,0.43333333333333335,-0.033333333333333326,0.6462002063333333,0.6281380993333333,128.95058059692383,156.9620132446289
sst2,roberta,30,0.6,0.4666666666666667,0.1333333333333333,0.7043891726666666,0.6889617376666667,85.97140502929688,136.97259521484375
